# x (m),channel 1, channel 2
-6.789526350900601049e-04,5.979731654688468234e-01,5.940111875022426879e-01
-6.779519679786525158e-04,5.990167408297492058e-01,5.950652264968292471e-01
-6.769513008672448182e-04,6.000519515049193009e-01,5.961125888243528070e-01
-6.759506337558372291e-04,6.010841763177213748e-01,5.971587887932990890e-01
-6.749499666444296400e-04,6.021400648823832524e-01,5.982117289468510402e-01
-6.739492995330220509e-04,6.032137517164659624e-01,5.992714990464149682e-01
-6.729486324216144618e-04,6.043053205121965421e-01,6.003546539451348751e-01
-6.719479653102068727e-04,6.054141403471973160e-01,6.014319303198281119e-01
-6.709472981987991752e-04,6.065247894429245390e-01,6.025137164236213927e-01
-6.699466310873915861e-04,6.076231419521306298e-01,6.035903250256909880e-01
-6.689459639759839970e-04,6.087438736071483225e-01,6.046895206944805645e-01
-6.679452968645764079e-04,6.098592403579023991e-01,6.057940464294397920e-01
-6.669446297531688187e-04,6.109654541372780967e-01,6.068911946882726838e-01
-6.659439626417612296e-04,6.120602208018848245e-01,6.079934428918043476e-01
-6.649432955303535321e-04,6.131583442523144134e-01,6.090907069583081368e-01
-6.639426284189459430e-04,6.142260762829313547e-01,6.101793262675704321e-01
-6.629419613075383539e-04,6.152871214430623015e-01,6.112747551685355774e-01
-6.619412941961307648e-04,6.163269185103651404e-01,6.123777594101823540e-01
-6.609406270847231757e-04,6.173616956326061223e-01,6.134759279256829512e-01
-6.599399599733155866e-04,6.183948154709664191e-01,6.145924291970997766e-01
-6.589392928619079975e-04,6.194414185482781665e-01,6.157113346895827233e-01
-6.579386257505002999e-04,6.205204598813087724e-01,6.168494052416760853e-01
-6.569379586390927108e-04,6.216112777860233196e-01,6.179958366389444180e-01
-6.559372915276851217e-04,6.227123839423457374e-01,6.191495905967009383e-01
-6.549366244162775326e-04,6.238079915983207879e-01,6.203094770981962824e-01
-6.539359573048699435e-04,6.249138727233135571e-01,6.214675337360473506e-01
-6.529352901934623544e-04,6.260153241636738919e-01,6.226347192532649677e-01
-6.519346230820547653e-04,6.271131757473846768e-01,6.238020126301870860e-01
-6.509339559706470678e-04,6.282145868031263625e-01,6.249930784356314550e-01
-6.499332888592394787e-04,6.293509732725816042e-01,6.262020157510344021e-01
-6.489326217478318896e-04,6.305046760746711998e-01,6.274199990393675153e-01
-6.479319546364243005e-04,6.316929216521921520e-01,6.286386099962485430e-01
-6.469312875250167114e-04,6.328957401108080694e-01,6.298869821310185690e-01
-6.459306204136091223e-04,6.341186687632279773e-01,6.311237697611860042e-01
-6.449299533022015331e-04,6.353606807815234125e-01,6.323648599522286862e-01
-6.439292861907938356e-04,6.366095496849580870e-01,6.336137986257328603e-01
-6.429286190793862465e-04,6.378388740813654145e-01,6.348595923872806246e-01
-6.419279519679786574e-04,6.390653157518157990e-01,6.361153124386399460e-01
-6.409272848565710683e-04,6.402736104493161884e-01,6.373499444580491557e-01
-6.399266177451634792e-04,6.414778928850248807e-01,6.385893222405603087e-01
-6.389259506337558901e-04,6.426722815260228483e-01,6.398185529023997509e-01
-6.379252835223483010e-04,6.438581046379692197e-01,6.410498248759891604e-01
-6.369246164109406035e-04,6.450368262295734789e-01,6.422799366336847671e-01
-6.359239492995330143e-04,6.462224519293628955e-01,6.435193121270402772e-01
-6.349232821881254252e-04,6.474073710070393783e-01,6.447524661102600474e-01
-6.339226150767178361e-04,6.485861803754484622e-01,6.459752143999828444e-01
-6.329219479653102470e-04,6.497902886703652570e-01,6.471972960500105287e-01
-6.319212808539026579e-04,6.509937021267885315e-01,6.484314323021359572e-01
-6.309206137424950688e-04,6.522086159368980507e-01,6.496732236861617604e-01
-6.299199466310873713e-04,6.534394070101695595e-01,6.509157438834795029e-01
-6.289192795196797822e-04,6.546584207061351135e-01,6.521673568431792800e-01
-6.279186124082721931e-04,6.558933537086563126e-01,6.533994218327486836e-01
-6.269179452968646040e-04,6.571157798869207145e-01,6.546432549028742276e-01
-6.259172781854570149e-04,6.583474028831619584e-01,6.558829620032311514e-01
-6.249166110740494258e-04,6.595636673689032614e-01,6.571138105643148375e-01
-6.239159439626418367e-04,6.607703244965146272e-01,6.583477729519009447e-01
-6.229152768512341391e-04,6.619926176665006379e-01,6.595890504175935254e-01
-6.219146097398265500e-04,6.632162887347798907e-01,6.608257769863742359e-01
-6.209139426284189609e-04,6.644542065960139521e-01,6.620725240377456355e-01
-6.199132755170113718e-04,6.657095891275174315e-01,6.633034793116019401e-01
-6.189126084056037827e-04,6.669662401056006829e-01,6.645641541125055785e-01
-6.179119412941961936e-04,6.682487235265881509e-01,6.658227517225745462e-01
-6.169112741827886045e-04,6.695305239477984394e-01,6.670989917316386686e-01
-6.159106070713809070e-04,6.708083735083582022e-01,6.684073037002010720e-01
-6.149099399599733179e-04,6.720880725094836583e-01,6.697169825714889280e-01
-6.139092728485657288e-04,6.733752105096698637e-01,6.710453661818662763e-01
-6.129086057371581396e-04,6.746712305366729945e-01,6.723807822980001347e-01
-6.119079386257505505e-04,6.759889935974435771e-01,6.737300073115335408e-01
-6.109072715143429614e-04,6.773163394046426422e-01,6.750962271487249700e-01
-6.099066044029353723e-04,6.786420875583484280e-01,6.764526245975609475e-01
-6.089059372915276748e-04,6.799627965043728572e-01,6.778080229084250119e-01
-6.079052701801200857e-04,6.812763678352432573e-01,6.791528070272183637e-01
-6.069046030687124966e-04,6.826062307899934956e-01,6.804923124195754180e-01
-6.059039359573049075e-04,6.839289407822335409e-01,6.818223033009981338e-01
-6.049032688458973184e-04,6.852375450559888836e-01,6.831406070456907953e-01
-6.039026017344896208e-04,6.865412533041528320e-01,6.844500432246507504e-01
-6.029019346230821402e-04,6.878437558626403492e-01,6.857522511418941979e-01
-6.019012675116744426e-04,6.891385681023255438e-01,6.870474130785234612e-01
-6.009006004002668535e-04,6.904575568424599075e-01,6.883436036989940554e-01
-5.998999332888592644e-04,6.917730375232936657e-01,6.896300740469676338e-01
-5.988992661774516753e-04,6.930859703200606958e-01,6.909114002325804638e-01
-5.978985990660440862e-04,6.944131615210975550e-01,6.922162359611515603e-01
-5.968979319546363887e-04,6.957364545283338808e-01,6.935234211523643166e-01
-5.958972648432289080e-04,6.970447959257126680e-01,6.948174101406426884e-01
-5.948965977318212105e-04,6.983063353830393227e-01,6.961167344591100425e-01
-5.938959306204136214e-04,6.995720567316168204e-01,6.974005871287503044e-01
-5.928952635090060323e-04,7.008354363389709407e-01,6.986870358121149982e-01
-5.918945963975984432e-04,7.021271715888117715e-01,6.999518796562054224e-01
-5.908939292861908540e-04,7.034221826029875002e-01,7.012329337163287768e-01
-5.898932621747831565e-04,7.047240302181798643e-01,7.025406881674186588e-01
-5.888925950633756758e-04,7.060508090505352996e-01,7.038431889908561834e-01
-5.878919279519679783e-04,7.073775395500628838e-01,7.051412175724218745e-01
-5.868912608405603892e-04,7.086794332350574432e-01,7.064440185177391918e-01
-5.858905937291528001e-04,7.099604459026461756e-01,7.077474213100614087e-01
-5.848899266177452110e-04,7.112322982887875344e-01,7.090266165722761693e-01
-5.838892595063376219e-04,7.125015865355348588e-01,7.102987466286843077e-01
-5.828885923949299244e-04,7.137498218671998185e-01,7.115750401005570547e-01
-5.818879252835224437e-04,7.149892244005503494e-01,7.128512879664952173e-01
-5.808872581721147461e-04,7.162882672742417745e-01,7.141316503436860863e-01
-5.798865910607071570e-04,7.176220510514288442e-01,7.154096018414495273e-01
-5.788859239492995679e-04,7.189821988412190557e-01,7.167106920425597716e-01
-5.778852568378919788e-04,7.203525743430425621e-01,7.180288862910152448e-01
-5.768845897264843897e-04,7.217232767918015934e-01,7.193342100017690033e-01
-5.758839226150766922e-04,7.230921096878861754e-01,7.206119524903885631e-01
-5.748832555036691031e-04,7.244472567631193849e-01,7.219084928478687324e-01
-5.738825883922615140e-04,7.257610679457223712e-01,7.232033449061954222e-01
-5.728819212808539249e-04,7.270540373765780329e-01,7.244840944610027034e-01
-5.718812541694463358e-04,7.283265978438810961e-01,7.257439989547360693e-01
-5.708805870580387467e-04,7.295955232857394002e-01,7.270304051782463528e-01
-5.698799199466311576e-04,7.308748145950633157e-01,7.283015636265430803e-01
-5.688792528352234600e-04,7.321552820516457061e-01,7.295830659806309404e-01
-5.678785857238158709e-04,7.334320921273155269e-01,7.308626022604886030e-01
-5.668779186124082818e-04,7.347212478775186906e-01,7.321328334775809576e-01
-5.658772515010006927e-04,7.360127900580790694e-01,7.334170296079244311e-01
-5.648765843895931036e-04,7.372924705965631098e-01,7.347020276314623066e-01
-5.638759172781855145e-04,7.385410103300902307e-01,7.359796252972328201e-01
-5.628752501667779254e-04,7.397851965549742115e-01,7.372686929612134454e-01
-5.618745830553702279e-04,7.410390017292535214e-01,7.385504661253655678e-01
-5.608739159439626388e-04,7.422954431927281105e-01,7.398077890122396472e-01
-5.598732488325550496e-04,7.435449254084837145e-01,7.410709670102350044e-01
-5.588725817211474605e-04,7.447931856241617465e-01,7.423082260872790883e-01
-5.578719146097398714e-04,7.460323324118655064e-01,7.435596455942254934e-01
-5.568712474983322823e-04,7.472441362591402125e-01,7.447943116562446564e-01
-5.558705803869246932e-04,7.484416582587654077e-01,7.460111770752210214e-01
-5.548699132755169957e-04,7.496496442990178144e-01,7.472120424746014899e-01
-5.538692461641094066e-04,7.508433369837088645e-01,7.483971499556240081e-01
-5.528685790527018175e-04,7.520206813014490566e-01,7.495793016279646004e-01
-5.518679119412942284e-04,7.532034065607311479e-01,7.507460232832505742e-01
-5.508672448298866393e-04,7.543844922072565629e-01,7.519082874507444503e-01
-5.498665777184790502e-04,7.555281167556019417e-01,7.530482795436991283e-01
-5.488659106070714611e-04,7.566463736712359944e-01,7.541626230352218574e-01
-5.478652434956637635e-04,7.577631702824573212e-01,7.552553869339220238e-01
-5.468645763842561744e-04,7.588527216538875075e-01,7.563648429824798569e-01
-5.458639092728485853e-04,7.599077365477466817e-01,7.574340955999977476e-01
-5.448632421614409962e-04,7.609444615965322845e-01,7.585010806578050824e-01
-5.438625750500334071e-04,7.619701233329184697e-01,7.595504108401633925e-01
-5.428619079386258180e-04,7.629678323740672896e-01,7.605890861632210731e-01
-5.418612408272182289e-04,7.639840159589752489e-01,7.616287402365585768e-01
-5.408605737158105314e-04,7.649860527620869766e-01,7.626337948261726618e-01
-5.398599066044029423e-04,7.659866958303257478e-01,7.636297646382312898e-01
-5.388592394929953532e-04,7.669626772630500078e-01,7.646303192778934887e-01
-5.378585723815877640e-04,7.679450792620825528e-01,7.656340877029427228e-01
-5.368579052701801749e-04,7.689082881804283343e-01,7.666213658584920543e-01
-5.358572381587725858e-04,7.698674480379003038e-01,7.676064962568710515e-01
-5.348565710473649967e-04,7.708268907603578191e-01,7.685695911424887949e-01
-5.338559039359572992e-04,7.717761809164139786e-01,7.695338631289944109e-01
-5.328552368245497101e-04,7.727527375641810581e-01,7.705175276273779073e-01
